"1";;"abandon";;"v";;" give up or over, yield, surrender, leave, cede, let go, deliver (up), turn over, relinquish";;" depart from, leave, desert, quit, go away from";;"  I can see no reason why we should abandon the house to thieves and vandals. "
"2";;"abandoned";;"adj";;" left alone, forlorn, forsaken, deserted, neglected; rejected, shunned, cast off or aside, jilted, dropped, outcast";;" bad, immoral,";;" An abandoned infant was found on the church steps. Totally alone, she felt abandoned by her friends. "
"3";;"abbreviate";;"v";;" shorten, compress, contract, truncate, trim, reduce, curtail";;" shorten, cut, condense, abridge, abstract, digest, epitomize, summarize, US synopsize";;"  We abbreviated some of the longer words to save space. "
"4";;"abbreviated";;"adj";;"skimpy, brief, revealing";;;;"  The dancers' abbreviated costumes shocked some members of the audience.
"
"5";;"abbreviation";;"n";;"initialism; acronym; shortening, contraction";;;;"  UK is one kind of abbreviation, or initialism; NATO, which is pronounced as a word, is another, usually called an acronym.
"
"6";;"abdicate";;"v";;"give up, renounce, disclaim, waive, disown, surrender, yield, relinquish, abandon, resign, quit";;;;"  He abdicated all responsibility for care of the children. She abdicated the throne to marry a commoner.
"
"7";;"abduct";;"v";;"kidnap, carry off, make away or off with, seize, Slang US snatch, grab";;;;"  The child that was abducted is safe.
"
"8";;"abet";;"v";;" encourage, urge, instigate, incite, provoke, egg on, prod, goad; aid, help, assist";;" countenance, approve (of), support, endorse, second, sanction, condone; further, advance, promote, uphold";;"  The jury found that his wife had abetted him in the murder.  "
"9";;"abeyance";;"n";;"in abeyance. pending, abeyant, reserved, in reserve, shelved, pushed or shoved or shunted aside, postponed, put off, suspended, US tabled; temporarily inactive, dormant; latent; Colloq in a holding pattern, on the back burner; Slang on hold, in the deep-freeze, on the shelf, on ice, hanging fire";;;;"  Legal proceedings were held in abeyance so that talks could take place
"
"10";;"abhor";;"v";;"hate, loathe, detest, abominate, execrate; regard or view with horror or dread or fright or repugnance or loathing or disgust, shudder at, recoil or shrink from; be or stand aghast at";;;;"  He said that he abhorred any violation of human rights.
"
"11";;"abhorrent";;"adj";;"hateful, detestable, abhorred, abominable, contemptible, odious, loathsome, horrid, heinous, execrable, repugnant; repulsive, repellent, revolting, offensive, disgusting, horrifying, obnoxious";;;;"  The idea of war was totally abhorrent to her.
"
"12";;"abide";;"v";;" stand, endure, suffer, submit to, bear, put up with, accept, tolerate, brook";;;;"  How can you abide the company of such a fool
"
"13";;"abiding";;"adj";;"lasting, permanent, constant, steadfast, everlasting, unending, eternal, enduring, indestructible; unchanging, fast, hard and fast, fixed, firm, immutable, changeless";;;;"  Her abiding love is a solace to him.
"
"14";;"ability";;"n";;" adeptness, aptitude, facility, faculty, capacity, power, knack, proficiency, Colloq know-how";;" talent, skill, cleverness, capacity, wit, gift, genius, capability";;"  I have perceived your ability to manipulate situations to your own advantage. "
"15";;"ablaze";;"adj";;" aflame, afire, burning, on fire, alight, blazing";;" lit up, alight, brilliantly or brightly-lit, sparkling, gleaming, aglow, bright, brilliant, luminous, illuminated, radiant";;"  By the time the firemen arrived, the roof was ablaze.  "
"16";;"able";;"adj";;" capable, qualified, competent, proficient";;" talented, clever, skilled, masterful, masterly; adept, skilful, gifted, superior, expert, accomplished";;"  I feel quite able to take care of myself, thank you. He is an able tennis player. "
"17";;"abnormal";;"adj";;" deviant, deviating, irregular, unusual, unconventional, aberrant, Psych jargon exceptional";;" peculiar, unusual, odd, strange, queer, freakish, unnatural, extraordinary, weird, eccentric, bizarre, anomalous, aberrant, perverse, deviant, irregular, Colloq offbeat, Slang oddball, kinky, weirdo";;"  The wing of a bat is an abnormal structure.  "
"18";;"abnormality";;"n";;" irregularity, unconformity, unusualness, singularity, eccentricity, unconventionality, uncommonness, deviation, aberration, idiosyncrasy";;" distortion, anomaly, malformation, deformity";;"  The desire in a man to wear women's clothing is viewed as an abnormality.  "
"19";;"abode";;"n";;"residence, dwelling, dwelling-place, house, home, domicile, habitation, quarters, lodging, accommodation Military billet; Colloq Brit digs, diggings";;;;"  He was described as being of no fixed abode.
"
"20";;"abolish";;"v";;"eliminate, end, put an end to, terminate, destroy, annihilate, annul, void, make void, demolish, do away with, nullify, repeal, cancel, obliterate, liquidate, destroy, stamp out, quash, extinguish, erase, delete, expunge; eradicate, extirpate, deracinate, uproot";;;;"  The best way to abolish folly is to spread wisdom. Prohibition in the US was abolished in 1933.
"
"21";;"abolition";;"n";;"elimination, end, termination, annulment, nullification, repudiation, cancellation; destruction, annihilation";;;;"  1837 marks the abolition of the slave trade in the British Empire.
"
"22";;"aboriginal";;"n";;"native, indigene, autochthon; Colloq Australian Abo, Offensive Australian aborigine , Slang Australian contemptuous boong";;;;"  Many aboriginals are not assimilated to modern life.
"
"23";;"abound";;"v";;" prevail, thrive, flourish";;" abound in. be crowded or packed or jammed with, be abundant or rich in, proliferate (in or with)";;"  Disease abounds among the undernourished peoples of Africa.  "
"24";;"about";;"adv";;" round, around, close by, nearby, on every side";;" approximately, around, nearly, roughly, more or less, almost, close to or upon; give or take";;"  Gather about, for I have something to tell you.  "
"25";;"about-turn";;"n";;"reversal, reverse, turn-about, turn-round, U-turn, volte-face, US about-face";;;;"  There has been a complete about-turn in the policy concerning immigration.
"
"26";;"above";;"adv";;" overhead, on high, aloft, in the sky or heavens";;" upstairs";;"  Far above, the clouds scudded swiftly by.  "
"27";;"above-board";;"adv";;" openly, candidly, freely, publicly, frankly, straightforwardly, plainly, for all to see, out in the open, in the open";;;;"  Donald has always dealt completely above-board with everyone.
"
"28";;"abridge";;"v";;"shorten, reduce, condense, cut, abbreviate, cut back, trim, curtail, pare down, contract, compress, digest, summarize, epitomize, abstract, US synopsize";;;;"  We abridged the original edition of 1000 pages to 480 pages.
"
"29";;"abridgement";;"n";;" shortening, reduction, abbreviation, condensation, contraction, truncation, trimming";;;;"  The abridgement took ten
"
"30";;"abroad";;"adv";;" overseas, in foreign lands or parts";;" broadly, widely, at large, near and far, far and wide, everywhere, extensively, publicly";;"  We were abroad on assignment for a few years.  "
"31";;"abrupt";;"adj";;" sudden, hasty, quick, precipitate, snappy; unexpected, unannounced, unplanned, unforeseen, unanticipated";;" precipitous, steep, sheer, sudden";;"  The general's abrupt departure has been linked with the disappearance of a great deal of money. "
"32";;"absence";;"n";;" non-attendance, non-presence, non-appearance, truancy";;" lack, want, deficiency, non-existence; insufficiency, scantiness, paucity, scarcity, dearth";;" This is Jason's third absence from class in a week. She runs the place in my absence. "
"33";;"absent";;"adj";;" away, out, off, elsewhere, not present, missing, gone";;" missing, lacking, wanting, deficient";;" Twenty people attended, but Harold was conspicuously absent.  "
"34";;"absolute";;"adj";;" perfect, complete, total, finished, thorough, through-and-through, consummate, flawless, faultless, unadulterated, pure, unmixed, unalloyed, undiluted; rank";;" complete, outright, downright, genuine, real, pure, out-and-out, transparent, unmitigated, categorical, unqualified, unconditional, utter, veritable, unconditioned";;"  Alan behaved like an absolute gentleman.  "
"35";;"absolutely";;"adv";;" unqualifiedly, unconditionally, unreservedly, unexceptionally, unequivocally, unquestionably, positively, definitely, really, genuinely, decidedly, surely, truly, certainly, categorically";;" totally, utterly, completely, entirely, fully, quite, altogether, wholly";;"  She is absolutely the best dancer I have ever seen. I absolutely refuse to go. "
"36";;"absorbed";;"adj";;"engrossed, lost, wrapped up, occupied, engaged, immersed, buried, preoccupied, concentrating, rapt";;;;"  He was absorbed in his reading.
"
"37";;"absorbing";;"adj";;"engrossing, engaging, riveting, captivating, fascinating, spellbinding, gripping";;;;"  Maria was watching an absorbing thriller on television.
"
"38";;"abstract";;"adj";;" theoretical, unapplied, notional, ideational, conceptual, metaphysical, unpractical, intellectual";;" non-representational, symbolic, non-realistic";;"  It is difficult to capture abstract ideas on paper.  "
"39";;"absurd";;"adj";;" ridiculous, silly, nonsensical, senseless, outlandish, preposterous, farcical, mad, stupid, foolish, idiotic, imbecilic or imbecile, moronic, childish; laughable, ludicrous, risible, inane, Colloq crazy, nutty, nuts , Chiefly Brit daft";;" asinine, senseless, illogical, irrational, unreasoned, unreasonable, incongruous, paradoxical, unsound, meaningless";;"  The notion that the moon is made of green cheese is absurd.  "
"40";;"absurdity";;"n";;" folly, silliness, ridiculousness, foolishness, ludicrousness, nonsense, senselessness, meaninglessness, illogicality, irrationality, unreasonableness, incongruity, stupidity, Colloq craziness, nuttiness , Chiefly Brit daftness";;" paradox, self-contradiction, error, fallacy";;" Many comics rely on absurdity rather than cleverness for humour. "
"41";;"abundance";;"n";;"overflow, superfluity, over-abundance, superabundance, excess, surplus, oversupply, glut, satiety, over-sufficiency; plenty, plenteousness, plentifulness, plenitude, copiousness, profusion, Formal nimiety";;;;"  The days when there was an abundance of fresh drinking-water have come to an end.
"
"42";;"abundant";;"adj";;" plentiful, overflowing, ample, copious, over-sufficient, superabundant, plenteous, profuse, inexhaustible, replete, bountiful, bounteous";;" abounding (in), full (of), rich (in), luxuriant, lavish";;"  The abundant rainfall fills the reservoirs every day.  "
"43";;"abuse";;"v";;" misuse, misemploy, pervert, misapply, exploit";;" maltreat, ill-use, injure, wrong, hurt, mistreat, manhandle, ill-treat; damage";;"  The officer abused his authority in ordering the forced march at midnight. "
"44";;"abused";;"adj";;" misused";;" maltreated, ill-treated, mistreated, hurt";;"  Permission to use the office copying machine has become an abused privilege. "
"45";;"abusive";;"adj";;" insulting, scurrilous, vituperative, calumnious, offensive, slanderous, libellous, defamatory, censorious, opprobrious, disparaging, deprecatory, depreciatory, derogatory, derisory, derisive, reviling, vilifying, vituperative, reproachful; profane; rude, filthy, dirty, foul, vulgar, obscene, smutty, vile, thersitical";;;;"  The Crown refuses to tolerate abusive satire directed at the king.  If I hear another word of abusive language out of you, I'll wash out your mouth with soap
"
"46";;"abysmal";;"adj";;" awful, appalling, dreadful, terrible, profound";;" abyssal, bottomless, profound, unfathomable, unfathomed";;"  The government of Nero presented a spectacle of abysmal degradation. "
